Region,Balanced_Credit_Amount,Location,Age,Size,Promotion,Holidays,Order_Quantity
East,12,Urban,6,2,0,1,0
East,12,Urban,3,2,0,1,0
East,24,Urban,5,2,0,1,0
South,24,Urban,18,2,0,1,0
South,45,Urban,21,3,0,1,0
East,12,Urban,14,3,0,1,0
South,30,Urban,25,3,0,1,0
West,27,Urban,25,3,0,1,0
East,24,Urban,18,3,0,1,0
South,48,Urban,23,4,0,1,0
East,18,Urban,6,4,0,1,0
West,9,Urban,25,4,0,1,0
West,18,Urban,25,4,0,1,0
South,9,Urban,25,4,0,1,1000
East,18,Urban,1,4,0,1,40
South,24,Urban,5,4,0,1,0
South,24,Urban,20,4,0,1,0
East,15,Urban,14,4,0,1,560
East,12,Urban,8,4,0,1,0
West,18,Rural,25,4,0,1,0
East,12,Urban,7,4,0,1,280
East,14,Urban,25,4,0,1,1000
South,9,Urban,11,4,0,1,0
East,9,Urban,20,4,0,1,0
East,6,Urban,16,5,0,1,800
North,36,Urban,9,5,0,1,450
South,6,Urban,11,5,0,1,0
South,24,Urban,10,5,0,1,500
West,9,Urban,22,5,0,1,1100
East,30,Urban,3,5,0,1,0
West,6,Urban,1,5,0,1,50
East,6,Urban,21,5,0,1,0
South,12,Semi-Urban,18,5,0,1,900
West,24,Urban,13,5,0,1,650
South,12,Urban,16,5,0,1,0
East,24,Urban,10,5,0,1,0
East,12,Urban,20,5,0,1,0
East,18,Urban,8,5,0,1,0
East,45,Urban,24,5,0,1,0
East,18,Urban,13,5,0,1,0
South,48,Urban,1,5,0,1,0
West,18,Urban,7,5,0,1,0
South,27,Semi-Urban,14,5,0,2,0
East,48,Urban,6,6,0,1,0
East,24,Urban,20,6,0,1,1200
South,9,Urban,2,6,0,1,120
South,8,Urban,10,6,0,1,0
South,60,Urban,24,6,0,1,0
East,15,Urban,5,6,0,1,0
West,39,Urban,10,6,0,1,600
East,24,Urban,9,6,0,1,0
East,18,Urban,3,6,0,1,0
West,6,Semi-Urban,23,6,0,1,1380
South,72,Urban,8,6,0,1,0
South,48,Urban,22,6,0,1,0
East,12,Urban,11,6,0,1,0
East,36,Urban,25,6,0,1,0
East,36,Rural,13,6,0,2,0
East,36,Semi-Urban,19,6,0,2,0
South,12,Urban,6,7,0,1,0
South,48,Urban,4,7,0,1,0
East,18,Urban,18,7,0,1,0
South,12,Urban,21,7,0,1,0
South,24,Urban,11,7,0,1,0
East,24,Urban,3,7,0,1,0
East,18,Urban,7,7,0,1,490
South,15,Rural,11,7,0,1,0
South,30,Urban,14,7,0,1,980
North,15,Urban,8,7,0,1,0
East,15,Semi-Urban,8,7,0,2,560
South,12,Urban,4,8,0,1,320
North,36,Urban,19,8,0,1,0
South,48,Urban,8,8,0,1,0
North,12,Rural,10,8,0,1,0
East,18,Urban,10,8,0,1,0
East,12,Urban,22,8,0,1,0
West,12,Urban,23,8,0,1,0
East,36,Urban,17,8,0,1,0
West,9,Urban,8,8,0,1,640
South,15,Urban,22,8,0,2,0
West,36,Urban,18,8,0,2,0
East,24,Semi-Urban,11,8,0,2,880
South,18,Urban,8,9,0,1,0
North,6,Urban,14,9,0,1,1260
East,24,Urban,14,9,0,1,0
West,10,Urban,2,9,0,1,0
East,18,Urban,9,9,0,1,0
South,60,Urban,14,9,0,1,0
East,9,Urban,1,9,0,1,0
South,36,Urban,10,10,0,1,0
East,9,Urban,7,10,0,1,0
West,36,Urban,25,10,0,1,0
East,21,Urban,3,10,0,1,300
South,24,Urban,17,10,0,1,0
North,9,Urban,24,10,0,1,0
West,24,Urban,11,10,0,1,1100
West,18,Rural,1,10,0,1,0
East,12,Rural,8,11,0,1,0
South,9,Urban,16,11,0,1,0
East,24,Rural,11,11,0,1,0
South,36,Urban,12,11,0,1,0
South,9,Rural,19,11,0,1,0
West,12,Urban,21,11,0,1,0
East,15,Urban,8,11,0,1,0
East,36,Urban,12,11,0,1,0
East,24,Rural,13,11,0,2,0
East,45,Urban,23,11,0,2,0
East,18,Urban,10,12,0,1,1200
East,24,Urban,3,12,0,1,360
East,42,Urban,2,12,0,1,0
South,12,Urban,1,12,0,1,0
West,18,Urban,10,12,0,1,1200
South,48,Semi-Urban,14,12,0,1,0
West,36,Semi-Urban,13,12,0,1,1560
South,9,Urban,3,12,0,1,0
West,21,Semi-Urban,14,12,0,1,0
East,24,Rural,7,12,0,1,0
South,12,Urban,1,12,0,1,120
West,9,Semi-Urban,22,13,0,1,2860
East,24,Urban,4,13,0,1,0
West,15,Semi-Urban,13,13,0,1,1690
East,36,Urban,12,13,0,1,0
East,30,Urban,16,13,0,1,0
East,48,Urban,14,13,0,1,0
East,12,Urban,23,13,0,1,2990
West,24,Urban,10,13,0,1,1300
East,30,Urban,4,13,0,1,0
West,10,Urban,10,13,0,1,1300
East,24,Rural,19,13,0,1,0
West,24,Urban,13,13,0,2,0
East,24,Urban,16,14,0,1,0
West,6,Urban,14,14,0,1,1960
West,6,Urban,6,14,0,1,0
East,24,Urban,19,14,0,1,0
East,24,Urban,15,14,0,1,0
West,10,Urban,20,14,0,1,2800
East,18,Rural,4,14,0,2,0
East,18,Urban,9,15,0,1,0
South,8,Urban,4,15,0,1,600
West,6,Urban,25,15,0,1,3750
East,12,Urban,6,15,0,1,0
East,12,Urban,2,15,0,1,0
South,18,Urban,12,15,0,1,0
South,18,Semi-Urban,3,15,0,1,0
North,21,Semi-Urban,1,15,0,1,0
South,36,Urban,24,15,0,1,0
West,18,Urban,17,15,0,1,2550
East,24,Urban,9,15,0,1,0
East,42,Urban,8,16,0,1,0
South,24,Rural,7,16,0,1,0
South,48,Urban,20,16,0,1,0
East,30,Urban,11,16,0,1,0
West,24,Urban,3,16,0,1,480
East,36,Urban,15,16,0,1,0
South,12,Urban,19,16,0,1,3040
South,15,Rural,14,16,0,1,0
North,18,Urban,12,16,0,1,0
South,9,Semi-Urban,3,17,0,1,510
South,14,Urban,23,17,0,1,3910
East,12,Urban,21,17,0,1,3570
East,24,Urban,19,17,0,1,0
East,12,Urban,14,17,0,1,0
East,6,Rural,15,17,0,1,0
East,18,Urban,5,17,0,1,850
South,18,Urban,12,17,0,1,2040
South,9,Urban,1,17,0,1,170
East,24,Urban,23,17,0,1,0
West,36,Urban,17,18,0,1,3060
South,27,Urban,22,18,0,1,0
South,48,Rural,5,18,0,1,900
North,15,Semi-Urban,4,18,0,1,720
East,12,Urban,8,18,0,1,0
West,21,Semi-Urban,15,18,0,1,2700
East,60,Urban,22,18,0,1,0
West,24,Urban,23,18,0,1,4140
South,30,Semi-Urban,5,18,0,2,900
West,30,Semi-Urban,7,18,0,2,1260
South,15,Urban,3,19,0,1,0
East,48,Rural,1,19,0,1,0
East,36,Urban,22,19,0,1,4180
South,18,Semi-Urban,18,19,0,1,3420
West,24,Semi-Urban,7,19,0,1,1330
South,36,Urban,14,19,0,1,0
South,12,Urban,25,19,0,1,0
West,12,Urban,13,19,0,1,2470
East,12,Urban,6,19,0,1,0
West,48,Rural,7,19,0,1,1330
South,18,Urban,8,20,0,1,0
West,12,Urban,5,20,0,1,1000
West,6,Urban,8,21,0,1,1680
East,20,Urban,2,21,0,1,420
South,21,Urban,17,21,0,1,0
East,24,Urban,5,21,0,1,0
East,36,Urban,9,22,0,1,0
East,12,Urban,4,22,0,1,880
South,18,Rural,25,22,0,1,0
South,18,Urban,2,22,0,1,440
East,6,Semi-Urban,24,22,0,1,5280
West,15,Urban,20,22,0,1,0
East,12,Urban,4,22,0,1,0
West,22,Urban,7,22,0,1,1540
East,30,Urban,7,22,0,1,1540
West,15,Urban,7,22,0,1,1540
West,10,Urban,21,22,0,1,4620
South,11,Semi-Urban,7,22,0,2,1540
East,11,Semi-Urban,6,22,0,2,1320
West,36,Rural,2,22,0,2,440
South,18,Semi-Urban,1,22,0,3,220
West,24,Urban,4,23,0,1,920
East,6,Urban,24,23,0,1,5520
West,12,Rural,13,23,0,1,2990
North,6,Urban,22,23,0,1,5060
South,18,Semi-Urban,18,23,0,1,4140
West,21,Urban,19,23,0,1,4370
West,24,Urban,17,23,0,1,3910
East,12,Urban,7,24,0,1,1680
South,36,Urban,24,24,0,1,0
East,36,Urban,21,24,0,1,0
East,36,Urban,13,24,0,1,3120
West,60,Urban,14,24,0,1,3360
South,60,Urban,13,24,0,1,0
East,18,Urban,11,24,0,1,0
South,24,Urban,20,24,0,1,4800
South,18,Rural,7,24,0,2,1680
West,36,Semi-Urban,8,24,0,2,1920
West,12,Semi-Urban,9,24,0,2,2160
West,4,Semi-Urban,3,24,0,3,720
West,18,Urban,16,25,0,1,4000
West,15,Semi-Urban,3,25,0,1,750
